_id,date,count
1,2020-07-29,7
2,2020-07-30,7
3,2020-07-31,12
4,2020-08-01,16
5,2020-08-02,11
6,2020-08-03,23
7,2020-08-04,28
8,2020-08-05,42
9,2020-08-06,38
10,2020-08-07,68
11,2020-08-08,80
12,2020-08-09,72
13,2020-08-10,38
14,2020-08-11,56
15,2020-08-12,50
16,2020-08-13,49
17,2020-08-14,66
18,2020-08-15,23
19,2020-08-16,37
20,2020-08-17,45
21,2020-08-18,36
22,2020-08-19,13
23,2020-08-20,16
24,2020-08-21,13
25,2020-08-22,20
26,2020-08-23,13
27,2020-08-24,16
28,2020-08-25,11
29,2020-08-26,12
30,2020-08-27,10
31,2020-08-28,11
32,2020-08-29,8
33,2020-08-30,12
34,2020-08-31,9
35,2020-09-01,6
36,2020-09-02,11
37,2020-09-03,12
38,2020-09-04,8
39,2020-09-05,12
40,2020-09-07,9
41,2020-09-08,5
42,2020-09-09,12
43,2020-09-10,8
44,2020-09-11,15
45,2020-09-12,7
46,2020-09-13,14
47,2020-09-14,10
48,2020-09-15,5
49,2020-09-16,15
50,2020-09-17,16
51,2020-09-18,22
52,2020-09-19,25
53,2020-09-20,28
54,2020-09-21,41
55,2020-09-22,36
56,2020-09-23,18
57,2020-09-24,59
58,2020-09-25,59
59,2020-09-26,96
60,2020-09-27,47
61,2020-09-28,54
62,2020-09-29,52
63,2020-09-30,88
64,2020-10-01,73
65,2020-10-02,56
66,2020-10-03,45
67,2020-10-04,59
68,2020-10-05,33
69,2020-10-06,23
70,2020-10-07,24
71,2020-10-08,37
72,2020-10-09,42
73,2020-10-10,47
74,2020-10-11,19
75,2020-10-12,45
76,2020-10-13,20
77,2020-10-14,32
78,2020-10-15,31
79,2020-10-16,31
80,2020-10-17,35
81,2020-10-18,41
82,2020-10-19,30
83,2020-10-20,44
84,2020-10-21,46
85,2020-10-22,103
86,2020-10-23,157
87,2020-10-24,68
88,2020-10-25,70
89,2020-10-26,88
90,2020-10-27,41
91,2020-10-28,73
92,2020-10-29,49
93,2020-10-30,69
94,2020-10-31,88
95,2020-11-01,64
96,2020-11-02,83
97,2020-11-03,105
98,2020-11-04,47
99,2020-11-05,68
100,2020-11-06,131
101,2020-11-07,78
102,2020-11-08,53
103,2020-11-09,82
104,2020-11-10,79
105,2020-11-11,76
106,2020-11-12,78
107,2020-11-13,74
108,2020-11-14,82
109,2020-11-15,91
110,2020-11-16,59
111,2020-11-17,60
112,2020-11-18,91
113,2020-11-19,87
114,2020-11-20,90
115,2020-11-21,66
116,2020-11-22,45
117,2020-11-23,63
118,2020-11-24,80
119,2020-11-25,72
120,2020-11-26,73
121,2020-11-27,92
122,2020-11-28,120
123,2020-11-29,67
124,2020-11-30,89
125,2020-12-01,70
126,2020-12-02,150
127,2020-12-03,104
128,2020-12-04,157
129,2020-12-05,143
130,2020-12-06,183
131,2020-12-07,132
132,2020-12-08,94
133,2020-12-09,268
134,2020-12-10,196
135,2020-12-11,255
136,2020-12-12,308
137,2020-12-13,238
138,2020-12-14,306
139,2020-12-15,199
140,2020-12-16,251
141,2020-12-17,278
142,2020-12-18,393
143,2020-12-19,245
144,2020-12-20,175
145,2020-12-21,191
146,2020-12-22,200
147,2020-12-23,188
148,2020-12-24,159
149,2020-12-25,258
150,2020-12-26,56
151,2020-12-27,108
152,2020-12-28,151
153,2020-12-29,118
154,2020-12-30,227
155,2020-12-31,195
156,2021-01-01,177
157,2021-01-02,85
158,2021-01-03,85
159,2021-01-04,107
160,2021-01-05,126
161,2021-01-06,220
162,2021-01-07,129
163,2021-01-08,117
164,2021-01-09,169
165,2021-01-10,102
166,2021-01-11,86
167,2021-01-12,69
168,2021-01-13,78
169,2021-01-14,86
170,2021-01-15,35
171,2021-01-16,59
172,2021-01-17,34
173,2021-01-18,26
174,2021-01-19,37
175,2021-01-20,39
176,2021-01-21,29
177,2021-01-22,32
178,2021-01-23,42
179,2021-01-24,39
180,2021-01-25,26
181,2021-01-26,20
182,2021-01-27,9
183,2021-01-28,34
184,2021-01-29,10
185,2021-01-30,17
186,2021-01-31,13
187,2021-02-01,15
188,2021-02-02,17
189,2021-02-03,17
190,2021-02-04,21
191,2021-02-05,19
192,2021-02-06,18
193,2021-02-07,23
194,2021-02-08,14
195,2021-02-09,13
196,2021-02-10,7
197,2021-02-11,13
198,2021-02-12,9
199,2021-02-13,14
200,2021-02-15,11
201,2021-02-16,5
202,2021-02-17,12
203,2021-02-18,17
204,2021-02-19,17
205,2021-02-20,29
206,2021-02-21,10
207,2021-02-22,24
208,2021-02-23,15
209,2021-02-24,16
210,2021-02-25,17
211,2021-02-26,29
212,2021-02-27,11
213,2021-02-28,14
214,2021-03-01,15
215,2021-03-02,14
216,2021-03-03,26
217,2021-03-04,16
218,2021-03-05,40
219,2021-03-06,28
220,2021-03-07,24
221,2021-03-08,23
222,2021-03-09,31
223,2021-03-10,32
224,2021-03-11,41
225,2021-03-12,36
226,2021-03-13,22
227,2021-03-14,24
228,2021-03-15,31
229,2021-03-16,35
230,2021-03-17,33
231,2021-03-18,28
232,2021-03-19,29
233,2021-03-20,15
234,2021-03-21,22
235,2021-03-22,28
236,2021-03-23,23
